Código	Descrição	Unidade	Preço
27399	!EM PROCESSO DE DESATIVACAO! BARRA DE APOIO TUBULAR COM ALMA EM FERRO, E= 2,25 MM, COMPRIMENTO DE 80 CM, ACABAMENTO COM PINTURA EM ESMALTE SINTETICO	UN	59,82
625	!EM PROCESSO DE DESATIVACAO! BASE CIMENTO CRISTALIZANTE	KG	3,37
164	!EM PROCESSO DE DESATIVACAO! BATENTE/ PORTAL/ ADUELA/ MARCO MACICO, E= *3 CM, L= *15 CM, *60 CM A 120* CM  X *210 CM,  EM IMBUIA/ CEDRO ARANA/ CEDRO ROSA OU EQUIVALENTE DA REGIAO	JG	109,86
191	!EM PROCESSO DE DESATIVACAO! BATENTE/ PORTAL/ADUELA/ MARCO MACICO, E= *3* CM, L= *7* CM, *60 CM A 120* CM X *210* CM,  EM IMBUIA/ CEDRO ARANA/ CEDRO ROSA OU EQUIVALENTE DA REGIAO	JG	65,03
10532	!EM PROCESSO DE DESATIVACAO! BETONEIRA DE 320 A 600 LITROS COM CARREGADOR E MOTOR ELETRICO TRIFASICO (LOCACAO)	H	1,67
10539	!EM PROCESSO DE DESATIVACAO! BETONEIRA 580 LITROS, COM CARREGADOR, MOTOR A DIESEL DE 7,5 HP	UN	24238,11
11117	!EM PROCESSO DE DESATIVACAO! BLOCO SEXTAVADO P/PAVIMENTACAO, EM CONCRETO COM 35 MPA (TIPO BLOKRET), DE 30 X 30 CM, E = 8,0 CM (NBR 9781:2013)	UN	2,96
10591	"!EM PROCESSO DE DESATIVACAO! BOMBA SUBMERSIVEL P/ DRENAGEM, 1CV  TRIFASICA, SAIDA 2"", C/ 1,5M DE CABO ELETR., AMT=8MCA Q=21,6M©ø/H  A AMT=14MCA Q=7M©ø/H"	UN	1744,78
5082	!EM PROCESSO DE DESATIVACAO! BORBOLETA FERRO CROMADO P/ JANELA MADEIRA TP GUILHOTINA	PAR	12,15
4371	"!EM PROCESSO DE DESATIVACAO! BRACADEIRA C/ PARAFUSO D = 1 1/4"""	UN	2,24
4364	"!EM PROCESSO DE DESATIVACAO! BRACADEIRA C/ PARAFUSO D = 2 1/2"""	UN	2,84
4360	"!EM PROCESSO DE DESATIVACAO! BRACADEIRA C/ PARAFUSO D = 3/4"""	UN	1,17
13385	"!EM PROCESSO DE DESATIVACAO! BRACO RETO P/ LUMINARIA PUBLICA - FERRO GALV C/ PARAF - 3/4"" X 1,5M"	UN	96,55
850	!EM PROCESSO DE DESATIVACAO! BUCHA E ARRUELA EM ALUMINIO FUNDIDO, PARA ELETRODUTO, 15 MM (1/2'') COM ROSCA	CJ	0,51
855	!EM PROCESSO DE DESATIVACAO! BUCHA E ARRUELA EM ALUMINIO FUNDIDO, PARA ELETRODUTO, 25 MM (1'') COM ROSCA	CJ	0,95
843	!EM PROCESSO DE DESATIVACAO! BUCHA E ARRUELA EM ALUMINIO FUNDIDO, PARA ELETRODUTO, 50 MM (2'') COM ROSCA	CJ	2,13
2542	"!EM PROCESSO DE DESATIVACAO! BUCHA LIGA ALUMINIO P/ ELETRODUTO ROSCAVEL 2"""	UN	1,37
4271	!EM PROCESSO DE DESATIVACAO! CABIDE DE LOUCA BRANCA SIMPLES TP GANCHO	UN	9,00
861	!EM PROCESSO DE DESATIVACAO! CABO DE COBRE NU 6 MM2 MEIO-DURO	M	3,21
11	!EM PROCESSO DE DESATIVACAO! CERA	KG	16,89
1312	!EM PROCESSO DE DESATIVACAO! CERAMICA ESMALTADA COMERCIAL OU 2A QUALID P/ PISO PEI-4	M2	18,91
1314	!EM PROCESSO DE DESATIVACAO! CERAMICA ESMALTADA EXTRA OU 1A QUALID P/ PAREDE 20 X 20CM PEI-4 - LINHA PADRAO MEDIO	M2	25,63
1289	!EM PROCESSO DE DESATIVACAO! CERAMICA ESMALTADA EXTRA OU 1A QUALIDADE P/ PISO PEI-4 - LINHA POPULAR	M2	23,76
10519	!EM PROCESSO DE DESATIVACAO! CERAMICA TP GRES EXTRA OU 1A QUALIDADE P/ PISO PEI-4	M2	25,90
13278	"!EM PROCESSO DE DESATIVACAO! CHUMBADOR DE ACO * 1"" X 500 MM * COM ROSCA E PORCA"	KG	54,84
11944	"!EM PROCESSO DE DESATIVACAO! CINTA GALVANIZADA DE 8"""	UN	21,41
1507	!EM PROCESSO DE DESATIVACAO! COMPRESSOR DE AR REBOCAVEL DE 200 PCM, 102 PSI E MOTOR DIESEL DE 79 CV	UN	32430,20
11818	!EM PROCESSO DE DESATIVACAO! CONECTOR PARAFUSO FENDIDO DE BRONZE P/ CABO 10- 16MM2	UN	2,51
7550	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 1 INTERRUPTOR SIMPLES 1 INTERRUPTOR PARALELO 10A/250V C/ PLACA , TP SILENTOQUE PIAL OU EQUIV	UN	11,09
7556	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 1 INTERRUPTOR SIMPLES 1 TOMADA 2P UNIVERSAL 10A/250V C/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	10,76
7562	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 1 INTERRUPTOR SIMPLES 1 TOMADA 2P UNIVERSAL 10A/250V S/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	8,90
7567	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 2 INTERRUPTORES PARALELOS 10A/250V C/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	13,49
7558	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 2 INTERRUPTORES SIMPLES 1 TOMADA 2P UNIVERSAL 10A/250V C/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	14,24
7554	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 2 INTERRUPTORES SIMPLES 1 TOMADA 2P UNIVERSAL 10A/250V S/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	12,00
7559	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 2 INTERRUPTORES SIMPLES 10A/250V C/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	9,70
7547	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 2 INTERRUPTORES SIMPLES 10A/250V S/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	8,29
7560	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 3 INTERRUPTORES SIMPLES 10A/250V C/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	13,39
7561	!EM PROCESSO DE DESATIVACAO! CONJUNTO EMBUTIR 3 INTERRUPTORES SIMPLES 10A/250V S/ PLACA, TP SILENTOQUE PIAL OU EQUIV	UN	11,35
11242	!EM PROCESSO DE DESATIVACAO! DEGRAU FF P/ POCO VISITA N.2 / 2,5KG	UN	6,68
13888	!EM PROCESSO DE DESATIVACAO! DESEMPENADEIRA ELETRICA 2CV P/ PISO CONCRETO	UN	2997,29
2365	"!EM PROCESSO DE DESATIVACAO! DINAMITE A 60% EM CARTUCHO DE *1"" X 8""*"	KG	5,14
11426	"!EM PROCESSO DE DESATIVACAO! DINAMITE GELATINOSA 1"" - 75%"""	KG	5,39
2362	"!EM PROCESSO DE DESATIVACAO! DINAMITE 2"" - 40% """	KG	4,72
2364	"!EM PROCESSO DE DESATIVACAO! DINAMITE 2"" - 60% """	KG	4,67
13604	!EM PROCESSO DE DESATIVACAO! DISTRIBUIDOR DE BETUME, CAPACIDADE 6000 L, ESPARGIMENTO SOB PRESSAO, A SER MONTADO SOBRE CHASSIS DE CAMINHAO	UN	155184,00
2404	!EM PROCESSO DE DESATIVACAO! DIVISORIA COLMEIA CEGA COM MONTANTE E RODAPE DE ALUMINIO ANODIZADO SIMPLES (SEM COLOCACAO)	M2	102,96
2425	"!EM PROCESSO DE DESATIVACAO! DOBRADICA ACO ZINCADO 3 X 3"" SEM ANEIS"	UN	2,71
11439	"!EM PROCESSO DE DESATIVACAO! DOBRADICA FERRO GALV 1 3/4 X 2"" SEM ANEIS"	UN	0,63
11441	"!EM PROCESSO DE DESATIVACAO! DOBRADICA FERRO GALV 4 X 3"" COM ANEIS"	UN	2,37
11443	"!EM PROCESSO DE DESATIVACAO! DOBRADICA FERRO POLIDO OU GALV 3 X 3"" E=2MM PINO SOLTO OU REVERSIVEL SEM ANEIS"	UN	3,21
2431	"!EM PROCESSO DE DESATIVACAO! DOBRADICA LATAO CROMADO 2 X 1"" SEM ANEIS"	UN	2,26
2427	"!EM PROCESSO DE DESATIVACAO! DOBRADICA LATAO CROMADO 3 X 3"" SEM ANEIS"	UN	9,13
3353	!EM PROCESSO DE DESATIVACAO! ELEVADOR DE OBRA COM TORRE DE *2,00 X 2,00* M, ALTURA DE 15 M, CARGA M AXIMA IGUAL A 1500 KG, CABINE SEMI-FECHADA PARA MATERIAL, COM GUINCHO DE CORRENTE E ENGRENAGEM E MOTOR ELETRIC	UN	34875,00
1372	!EM PROCESSO DE DESATIVACAO! EMULSAO ADESIVA A BASE DE ACRILICO	KG	11,09
627	!EM PROCESSO DE DESATIVACAO! EMULSAO ADESIVA BASE PVA/ACRILICA	KG	14,05
2691	!EM PROCESSO DE DESATIVACAO! EMULSAO ASFALTICA A BASE DE AGUA PARA IMPERMEABILIZACAO	L	7,36
7331	!EM PROCESSO DE DESATIVACAO! EMULSAO ASFALTICA COM ELASTOMERO	KG	12,38
2709	!EM PROCESSO DE DESATIVACAO! ENXADA ESTREITA DE *240 X 230* MM, SEM CABO	UN	17,13
1154	!EM PROCESSO DE DESATIVACAO! EQUIPAMENTO PARA LAMA ASFALTICA, COM SILO DE AGREGADO 6 M3, DOSADOR CIMENTO, 2 TANQUES 2 M3 CADA, PARA EMULSAO / AGUA, MISTURADOR HELICOIDAL E CAIXA, A SER MONTADO SOBRE CAMINHAO	UN	212280,00
2722	!EM PROCESSO DE DESATIVACAO! ESCAVADEIRA HIDRAULICA SOBRE ESTEIRA, COM GARRA GIRATORIA DE MANDIBULAS, PESO OPERACIONAL ENTRE 22,00 E 25,50 TON, POTENCIA LIQUIDA ENTRE 150 E 160 HP	H	181,06
2719	!EM PROCESSO DE DESATIVACAO! ESCAVADEIRA HIDRAULICA SOBRE ESTEIRAS DE 99 HP, PESO OPERACIONAL DE *16* T E CAPACIDADE DE 0,85 A 1,00 M3 (LOCACAO COM OPERADOR, COMBUSTIVEL E MANUTENCAO)	H	135,00
2727	!EM PROCESSO DE DESATIVACAO! ESCAVADEIRA HIDRAULICA SOBRE ESTEIRAS, CAPACIDADE DA CAÃAMBA ENTRE 1,20 E 1,50 M3, PESO OPERACIONAL ENTRE 20,00 E 22,00 TON, POTENCIA LIQUIDA ENTRE 150 E 155 HP, EQUIPADA COM CLAMS	H	212,74
7549	"!EM PROCESSO DE DESATIVACAO! ESPELHO EM PVC 4X2"""	UN	1,80
7551	"!EM PROCESSO DE DESATIVACAO! ESPELHO EM PVC 4X4"""	UN	3,93
2761	!EM PROCESSO DE DESATIVACAO! ESPOLETA ELETRICA - 2M	UN	13,37
11614	!EM PROCESSO DE DESATIVACAO! ESPUMA DE POLIURETANO E=20 A 25MM TEMP DE TRABALHO -50 A +100 GC DENS 29 A 35KG/M3	M2	41,62
2782	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 300MM -  40T	M	162,22
2783	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 350MM -  55T	M	182,50
2786	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 400MM -  75T	M	210,88
2784	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 450MM -  95T	M	324,44
2785	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 520MM - 130T	M	385,27
2781	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 600MM - 170T	M	446,11
2780	!EM PROCESSO DE DESATIVACAO! ESTACA CONCRETO TIPO 'FRANKI' D = 700MM - 220T	M	588,05
11417	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE *100* T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	322,82
11411	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE *120* T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	420,96
2775	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE *30* T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	145,99
2776	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE *60* T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	219,40
2763	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 20 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	109,50
2774	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 25 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	115,29
11413	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 35 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	155,32
11414	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 45 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	182,50
2778	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 50 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	200,74
11416	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 75 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	251,28
2777	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA MACICA DE CONCRETO VIBRADO, PARA CARGA DE 80 T, SECAO QUADRADA (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGEM)	M	262,43
2765	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA VAZADA DE CONCRETO CENTRIFUGADO, PARA CARGA DE 170 A 230 T, SECAO CIRCULAR (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDA	M	545,47
2766	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA VAZADA DE CONCRETO CENTRIFUGADO, PARA CARGA DE 30 A 40 T, SECAO CIRCULAR (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGE	M	148,43
2772	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA VAZADA DE CONCRETO CENTRIFUGADO, PARA CARGA DE 60 A 75 T, SECAO CIRCULAR (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGE	M	231,36
2773	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA VAZADA DE CONCRETO CENTRIFUGADO, PARA CARGA DE 75 A 90 T, SECAO CIRCULAR (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAGE	M	283,88
2764	!EM PROCESSO DE DESATIVACAO! ESTACA PRE-MOLDADA VAZADA DE CONCRETO CENTRIFUGADO, PARA CARGA DE 90 A 115 T, SECAO CIRCULAR (INCLUI CRAVACAO E EMENDAS, NAO INCLUI MOBILIZACAO, DESMOBILIZACAO NEM SERVICO DE SONDAG	M	344,72
14	!EM PROCESSO DE DESATIVACAO! ESTOPA OU CORDA ALCATROADA P/ JUNTA DE TUBOS CONCRETO/CERAMICO	KG	11,78
11429	!EM PROCESSO DE DESATIVACAO! ESTOPIM DUPLO	M	1,55
3089	!EM PROCESSO DE DESATIVACAO! FECHADURA EMBUTIR EXTERNA (C/ CILINDRO) COMPLETA - ACAB SUPERIOR (LINHA LUXO)	CJ	180,61
3098	!EM PROCESSO DE DESATIVACAO! FECHADURA EMBUTIR P/ PORTA DE BANHEIRO, COMPLETA - ACAB SUPERIOR (LINHA LUXO)	CJ	148,97
3092	!EM PROCESSO DE DESATIVACAO! FECHADURA EMBUTIR TP GORGES (CHAVE GRANDE) P/PORTA INTERNA, COMPLETA - LINHA LUXO	CJ	123,69
11607	!EM PROCESSO DE DESATIVACAO! FELTRO ONDALIT LARGURA = 1,00 M	M	12,47
3118	"!EM PROCESSO DE DESATIVACAO! FERROLHO/FECHO/TARJETA OU TRINCO PINO REDONDO 2"" SOBREPOR FERRO CROMADO"	UN	1,47
20058	!EM PROCESSO DE DESATIVACAO! FIO DE COBRE NU 4 MM2	KG	1,92
11619	!EM PROCESSO DE DESATIVACAO! FITA OU CINTA DE CALDEACAO P/ MANTA BUTILICA	M	3,62
21113	!EM PROCESSO DE DESATIVACAO! FOLHEADO MADEIRA CEDRO/VIROLA/CEREJEIRA/FREJO OU EQUIVALENTE PARA REVESTIMENTO DE COMPENSADO	M2	12,41
7308	!EM PROCESSO DE DESATIVACAO! FUNDO ANTICORROSIVO TIPO ZARCAO OU EQUIV	GL	66,46
6089	!EM PROCESSO DE DESATIVACAO! FUNDO PREPARADOR DE PAREDES(ACRILICO)	GL	31,82
12346	!EM PROCESSO DE DESATIVACAO! FUSIVEL FACA 100A - 250V FIXO	UN	9,62
3300	!EM PROCESSO DE DESATIVACAO! FUSIVEL NH 250 A TAM. 00	UN	17,08
12353	!EM PROCESSO DE DESATIVACAO! FUSIVEL ROSCA 15A - 250V FIXO	UN	2,28
11360	!EM PROCESSO DE DESATIVACAO! GERADOR PORTATIL DE 5 KVA, MONOFASICO, COM MOTOR A GASOLINA DE 8 HP	UN	4678,10
12297	!EM PROCESSO DE DESATIVACAO! GLOBO ESFERICO DE PLASTICO TAMANHO MEDIO	UN	10,51
12299	!EM PROCESSO DE DESATIVACAO! GLOBO ESFERICO DE VIDRO LISO TAMANHO GRANDE	UN	29,18
12298	!EM PROCESSO DE DESATIVACAO! GLOBO ESFERICO DE VIDRO LISO TAMANHO MEDIO	UN	11,13
10702	"!EM PROCESSO DE DESATIVACAO! GRADE DE DISCO MECANICA MARCA MARCHESAN (TATU), MOD.GAM 24X24"", REBOCAVELL, C/ 24 DISCOS DIAM 24"", A OLEO C/ PNEUS P/TRANSPORTE"	UN	36526,64
1568	!EM PROCESSO DE DESATIVACAO! GRAMPO PARALELO BIMETALICO P/ CABO 10MM2 C/ 1 PARAF	UN	8,16
4787	!EM PROCESSO DE DESATIVACAO! GRANILHA DE MARMORE BRANCO	KG	0,63
11794	!EM PROCESSO DE DESATIVACAO! GRANITO AMENDOA POLIDO PARA BANCADA ESP = 2 CM	M2	219,09
11796	!EM PROCESSO DE DESATIVACAO! GRANITO PRETO TIJUCA POLIDO PARA BANCADA ESP = 2 CM	M2	266,91
21051	!EM PROCESSO DE DESATIVACAO! GRELHA FOFO P/ CANALETA 18 X 300 X 1000MM P/ GARAGEM E ESTACIONAMENTO	UN	34,66
21055	!EM PROCESSO DE DESATIVACAO! GRELHA FOFO P/ CANALETA 40 X 400 X 1000MM P/ GARAGEM E ESTACIONAMENTO	UN	66,88
11284	!EM PROCESSO DE DESATIVACAO! GRELHA FOFO PARA CAPTACAO DE AGUA PLUVIAL EM VIAS URBANAS, COM REQUADRO, CAIXA RALO DE *290 X 870* MM, *80* KG, CARGA MAXIMA DE 8000 KG	UN	105,88
13910	!EM PROCESSO DE DESATIVACAO! GRUPO GERADOR C/ MOTOR DIESEL * 85 CV *, REBOCAVEL * 60 A 66 KVA	UN	46938,00
13911	!EM PROCESSO DE DESATIVACAO! GRUPO GERADOR, 125/145 KVA, MOTOR A DIESEL 165 CV, 1800 RPM, ESTACIONARIO	UN	69644,65
13869	!EM PROCESSO DE DESATIVACAO! GUINDASTE HIDRAULICO TIPO TRUCK CRANE, C/LANCA TELESCOPICA DE ACIONAMENTO HIDRAULICO, CAPACIDADE DE CARGA 30.000 KG, COM PBT A PARTIR DE 30. 000 KG, MONTADO SOBRE CAMINHAO 6 X 4	UN	1509798,95
10713	!EM PROCESSO DE DESATIVACAO! GUINDASTE HIDRAULICO VEICULAR, C/LANCA TELESCOPICA DE ACIONAMENTO HIDRAULICO E LANCAS MANUAIS, MOMENTO MAXIMO DE ELEVACAO 23.000 KG, COM PBT A PARTIR DE 18.000 KG, MONTADO SOBRE CAM	UN	423324,33
11611	!EM PROCESSO DE DESATIVACAO! GUINDAUTO HIDRAULICO, CARGA MAX 7,7 TON.  (A 5,52M), AL TURA MAX = 8,64M, P/ MONTAGEM SOBRE CHASSIS DE CAMINHAO**CAIXA**	UN	80408,12
21145	!EM PROCESSO DE DESATIVACAO! HASTE DE TERRA EM ACO REVESTIDO DE COBRE DN 3/8'' X 3000MM	UN	27,45
126	!EM PROCESSO DE DESATIVACAO! IMPERMEABILIZANTE ACELERADOR DE PEGA PARA ARGAMASSA	L	8,29
141	!EM PROCESSO DE DESATIVACAO! IMPERMEABILIZANTE FLEXÃVEL A BASE DE ELASTÃMERO IGOLFLEX PRETO SIKA OU EQUIVALENTE	KG	12,61
158	!EM PROCESSO DE DESATIVACAO! IMUNIZANTE PARA MADEIRAS BRUTAS TIPO CARBOLINEUM OU EQUIVALENTE	L	24,05
7546	!EM PROCESSO DE DESATIVACAO! INTERRUPTOR EMBUTIR 4 POLOS USO INDUSTRIAL	UN	489,27
7557	!EM PROCESSO DE DESATIVACAO! INTERRUPTOR PARALELO EMBUTIR 10A/250V C/ PLACA, TIPO SILENTOQUE PIAL OU EQUIV	UN	7,41
7563	!EM PROCESSO DE DESATIVACAO! INTERRUPTOR PARALELO EMBUTIR 10A/250V S/ PLACA, TIPO SILENTOQUE PIAL OU EQUIV	UN	5,66
7555	!EM PROCESSO DE DESATIVACAO! INTERRUPTOR SIMPLES EMBUTIR 10A/250V C/PLACA, TIPO SILENTOQUE PIAL OU EQUIV	UN	5,63
7564	!EM PROCESSO DE DESATIVACAO! INTERRUPTOR SIMPLES EMBUTIR 10A/250V S/PLACA, TIPO SILENTOQUE PIAL OU EQUIV	UN	3,86
12365	!EM PROCESSO DE DESATIVACAO! ISOLADOR DE PORCELANA, TIPO CARRETILHA, DIMENSOES DE 42 X 75 MM, 4 RANHURAS	UN	4,10
12364	"!EM PROCESSO DE DESATIVACAO! ISOLADOR TENSAO P/ 15KV - 6"" DISCO CAVILHA"	UN	51,35
598	!EM PROCESSO DE DESATIVACAO! JANELA ALUMINIO CORRER SERIE 25 FOLHAS  PARA VIDRO COM  BANDEIRA ,160 X 110CM (INCLUSO GUARNICAO E VIDRO LISO INCOLOR)	M2	429,24
596	!EM PROCESSO DE DESATIVACAO! JANELA ALUMINIO CORRER SERIE 25 VENEZIANA C/ BANDEIRA 160 X 110CM	M2	524,64
