Código	Descrição	Unidade	Preço
73887/013	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 800 MM - INCLUSIVE TRANSPORTES	M	29,70
73887/014	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 900 MM - INCLUSIVE TRANSPORTE	M	34,72
73887/015	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 1000 MM - INCLUSIVE TRANSPORTE	M	37,28
73887/016	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 1100 MM - INCLUSIVE TRANSPORTE	M	44,17
73887/017	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 1200 MM - INCLUSIVE TRANSPORTE	M	52,18
74213/001	MODULO TIPO: REDE DE AGUA, COM FORNECIMENTO E ASSENTAMENTO DE TUBO FºF º DN 200 MM-K7, COMPREENDENDO: LOCACAO, CADASTRAMENTO DE INTERFERENCIA S, ESCAVACAO E REATERRO COMPACTADO DE VALA, EXCETO ROCHA, ATE 1,50 M. INCLUSIVE. ATENÇÃO: VIDE DESCRIÇÃOCOMPLEMENTAR .	M	21,59
83655	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO), COM JUNTA ELAST ICA, DN 50 MM.	M	3,02
73888/001	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 50 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	1,37
73888/002	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 75 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	1,83
73888/003	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 100 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	2,29
73888/004	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 150 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV P/ AGUA)	M	2,75
73888/005	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 200 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV P/ AGUA)	M	3,21
73888/006	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 250 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV P/ AGUA)	M	3,67
73888/007	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 300 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV P/ AGUA)	M	4,59
73888/008	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 350 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) PARA AGUA	M	5,05
73888/009	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 400 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	6,92
73888/010	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 500 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	7,64
73888/011	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 600 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	8,56
73888/012	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 700 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	9,33
73888/013	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 800 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	10,20
73888/014	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 900 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.	M	11,02
73888/015	ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 1000 MM - (OU RPVC, OU PV C DEFOFO, OU PRFV) - PARA AGUA.	M	11,74
90694	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	14,07
90695	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	27,85
90696	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	41,76
90697	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	69,80
90698	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	107,36
90699	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	138,00
90700	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	180,70
90709	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	15,63
90710	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	29,44
90711	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	43,32
90712	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	71,36
90713	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	108,95
90714	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	139,55
90715	TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MACIÇA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_06/2015	M	184,16
90724	JUNTA ARGAMASSADA ENTRE TUBO DN 100 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	18,51
90725	JUNTA ARGAMASSADA ENTRE TUBO DN 150 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	22,88
90726	JUNTA ARGAMASSADA ENTRE TUBO DN 200 MM E O POÇO/ CAIXA DE CONCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	27,25
90727	JUNTA ARGAMASSADA ENTRE TUBO DN 250 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	31,62
90728	JUNTA ARGAMASSADA ENTRE TUBO DN 300 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	35,99
90729	JUNTA ARGAMASSADA ENTRE TUBO DN 350 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	40,36
90730	JUNTA ARGAMASSADA ENTRE TUBO DN 400 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	44,77
90731	JUNTA ARGAMASSADA ENTRE TUBO DN 450 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	49,14
90732	JUNTA ARGAMASSADA ENTRE TUBO DN 600 MM E O POÇO DE VISITA/ CAIXA DE CO NCRETO OU ALVENARIA EM REDES DE ESGOTO. AF_06/2015	UN	62,28
90733	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	1,98
90734	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	2,41
90735	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	2,88
90736	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	3,31
90737	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	3,74
90738	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	4,20
90739	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	10,05
90740	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	4,43
90741	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	4,87
90742	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	5,30
90743	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	5,76
90744	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	6,19
90745	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	14,45
90746	ASSENTAMENTO DE TUBO DE PEAD CORRUGADO DE DUPLA PAREDE PARA REDE COLET ORA DE ESGOTO, DN 450 MM, JUNTA ELÁSTICA INTEGRADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/20 15	M	18,62
90747	ASSENTAMENTO DE TUBO DE PEAD CORRUGADO DE DUPLA PAREDE PARA REDE COLET ORA DE ESGOTO, DN 600 MM, JUNTA ELÁSTICA INTEGRADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/20 15	M	22,13
90748	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	3,54
90749	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	4,00
90750	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	4,43
90751	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	4,87
90752	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	5,33
90753	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	5,76
90754	ASSENTAMENTO DE TUBO DE PVC PARA REDE COLETORA DE ESGOTO DE PAREDE MAC IÇA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE I NTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	13,51
90755	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	5,99
90756	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	6,42
90757	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	6,89
90758	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	7,32
90759	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	7,75
90760	ASSENTAMENTO DE TUBO DE PVC CORRUGADO DE DUPLA PAREDE PARA REDE COLETO RA DE ESGOTO, DN 400 MM, EM JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍV EL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/2015	M	17,84
90761	ASSENTAMENTO DE TUBO DE PEAD CORRUGADO DE DUPLA PAREDE PARA REDE COLET ORA DE ESGOTO, DN 450 MM, JUNTA ELÁSTICA INTEGRADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/201 5	M	22,87
90762	ASSENTAMENTO DE TUBO DE PEAD CORRUGADO DE DUPLA PAREDE PARA REDE COLET ORA DE ESGOTO, DN 600 MM, JUNTA ELÁSTICA INTEGRADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_06/201 5	M	26,34
92834	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	5,99
92835	TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁRIO, DIÂMETRO DE 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFE RÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_12/2015	M	120,64
92836	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	7,65
92838	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 500 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	9,18
92840	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 600 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	10,88
92842	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 700 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	12,42
92844	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 800 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	14,11
92846	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 900 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	15,64
92848	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 1000 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	17,36
92850	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	11,33
92851	TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁRIO, DIÂMETRO DE 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO NÍVEL DE INTERFER ÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_12/2015	M	127,29
92852	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	14,30
92854	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 500 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	17,41
92856	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 600 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	20,53
92858	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 700 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	23,49
92860	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 800 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	26,66
92862	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 900 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO N ÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	29,76
92864	ASSENTAMENTO DE TUBO DE CONCRETO PARA REDES COLETORAS DE ESGOTO SANITÁ RIO, DIÂMETRO DE 1000 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM ALTO NÍVEL DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_12/2015	M	32,87
92210	TUBO DE CONCRETO PARA REDES COLETORAS DE ÁGUAS PLUVIAIS, DIÂMETRO DE 4 00 MM, JUNTA RÍGIDA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNC IAS - FORNECIMENTO E ASSENTAMENTO. AF_12/2015	M	87,13
